customer_id,city,age,customer_segment,derived_top_cuisine,top_3_cuisines,derived_avg_order_value,orders_observed,avg_customer_rating,observed_discount_rate,weekend_order_share,late_night_share,repeat_order_share,unique_restaurants_tried,dietary_preference,healthy_affinity,spicy_affinity,exploration_affinity,loyalty_affinity
C0001,Mumbai,19,Food Explorer,South Indian,"South Indian, Chinese, Healthy",574.0,9,4.22,0.67,0.33,0.11,0.22,8,Vegetarian,0.12,0.27,0.27,0.53
C0002,Kolkata,44,Food Explorer,Chinese,"Chinese, Pizza, Italian",373.0,13,3.85,0.46,0.46,0.23,0.69,8,Vegan,0.18,0.18,0.87,0.4
C0003,Bengaluru,20,Health Conscious,Chinese,"Chinese, Maharashtrian, Italian",541.0,22,4.09,0.41,0.09,0.14,0.5,16,Vegetarian,0.76,0.94,0.16,0.65
C0004,Mumbai,42,Food Explorer,Chinese,"Chinese, Healthy, Burgers",498.0,7,3.71,0.57,0.14,0.14,0.0,7,No Preference,0.55,0.31,0.16,0.63
C0005,Bengaluru,53,Food Explorer,North Indian,"North Indian, Chinese, Biryani",617.0,15,3.93,0.2,0.13,0.07,0.33,12,Jain,0.28,0.52,0.55,0.69
C0006,Hyderabad,27,Budget Explorer,South Indian,"South Indian, Biryani, Cafe",663.0,13,4.31,0.77,0.23,0.08,0.31,11,Vegetarian,0.52,0.74,0.9,0.25
C0007,Delhi,28,Convenience Seeker,Maharashtrian,"Maharashtrian, Burgers, Healthy",617.0,6,3.83,0.83,0.33,0.33,0.33,5,Vegetarian,0.68,0.56,0.11,0.69
C0008,Pune,25,Health Conscious,Pizza,"Pizza, North Indian, Biryani",457.0,19,3.95,0.89,0.42,0.11,0.53,14,Low-Calorie,0.82,0.53,0.19,0.62
C0009,Pune,28,Food Explorer,Biryani,"Biryani, Pizza, Cafe",557.0,6,4.0,0.83,0.17,0.17,0.33,5,Vegetarian,0.15,0.85,0.77,0.38
C0010,Mumbai,49,Food Explorer,Healthy,"Healthy, Cafe, Burgers",642.0,9,4.33,0.33,0.33,0.11,0.22,8,No Preference,0.89,0.74,0.59,0.87
C0011,Bengaluru,43,Food Explorer,Healthy,"Healthy, Chinese, Cafe",503.0,18,4.22,0.22,0.33,0.0,0.5,12,No Preference,0.7,0.15,0.57,0.16
C0012,Mumbai,39,Convenience Seeker,Chinese,"Chinese, Maharashtrian, Healthy",429.0,17,3.94,0.82,0.35,0.18,0.35,14,Vegetarian,0.79,0.26,0.48,0.74
C0013,Hyderabad,40,Food Explorer,Desserts,"Desserts, Thai, Cafe",666.0,6,4.0,0.67,0.17,0.17,0.33,5,Vegetarian,0.56,0.22,0.19,0.29
C0014,Hyderabad,33,Food Explorer,Thai,"Thai, Desserts, Pizza",513.0,15,3.73,0.93,0.27,0.07,0.6,10,No Preference,0.51,0.28,0.78,0.27
C0015,Mumbai,28,Budget Explorer,Chinese,"Chinese, Maharashtrian, South Indian",560.0,12,4.0,0.75,0.42,0.0,0.33,10,High-Protein,0.51,0.26,0.73,0.65
