interaction_id,customer_id,restaurant_id,event_type,event_time,source_surface
I0000001,C0001,R0023,click,2026-03-25,search
I0000002,C0001,R0069,impression,2026-03-24,ai_assistant
I0000003,C0001,R0073,order,2026-08-08,reorder
I0000004,C0001,R0113,impression,2026-01-04,search
I0000005,C0001,R0073,add_to_cart,2026-03-08,ai_assistant
I0000006,C0001,R0065,impression,2026-05-20,offers
I0000007,C0001,R0120,add_to_cart,2026-03-04,offers
I0000008,C0001,R0001,click,2026-03-18,reorder
I0000009,C0001,R0150,impression,2026-01-19,home
I0000010,C0001,R0051,click,2026-06-28,search
I0000011,C0001,R0065,view_menu,2026-06-11,ai_assistant
I0000012,C0001,R0034,impression,2026-03-09,home
I0000013,C0001,R0118,add_to_cart,2026-06-21,ai_assistant
I0000014,C0001,R0034,impression,2026-01-22,home
I0000015,C0001,R0134,click,2026-07-20,home
I0000016,C0001,R0142,click,2026-08-02,home
I0000017,C0001,R0065,impression,2026-05-29,ai_assistant
I0000018,C0001,R0116,add_to_cart,2026-08-05,offers
I0000019,C0001,R0013,view_menu,2026-02-06,reorder
I0000020,C0001,R0145,click,2026-05-24,ai_assistant
I0000021,C0001,R0087,add_to_cart,2026-03-16,home
I0000022,C0001,R0065,impression,2026-01-21,reorder
I0000023,C0001,R0101,impression,2026-01-18,ai_assistant
I0000024,C0001,R0029,impression,2026-08-08,ai_assistant
I0000025,C0001,R0116,impression,2026-01-03,reorder
I0000026,C0001,R0087,impression,2026-06-30,search
I0000027,C0001,R0073,impression,2026-01-30,offers
I0000028,C0001,R0057,click,2026-01-01,reorder
I0000029,C0001,R0057,click,2026-05-09,reorder
I0000030,C0001,R0101,impression,2026-07-10,reorder
I0000031,C0001,R0075,impression,2026-08-20,offers
I0000032,C0001,R0137,impression,2026-06-19,ai_assistant
I0000033,C0001,R0145,click,2026-01-18,home
I0000034,C0001,R0116,impression,2026-07-27,reorder
I0000035,C0001,R0101,dismiss,2026-03-11,reorder
I0000036,C0001,R0034,impression,2026-07-15,search
I0000037,C0001,R0063,impression,2026-09-08,offers
I0000038,C0001,R0118,impression,2026-01-14,offers
I0000039,C0001,R0051,impression,2026-02-26,search
I0000040,C0001,R0053,save,2026-04-26,reorder
I0000041,C0001,R0009,view_menu,2026-05-29,ai_assistant
I0000042,C0001,R0069,save,2026-04-26,home
I0000043,C0001,R0063,dismiss,2026-03-05,ai_assistant
I0000044,C0001,R0148,view_menu,2026-04-11,ai_assistant
I0000045,C0001,R0146,impression,2026-07-28,offers
I0000046,C0001,R0149,impression,2026-08-02,offers
I0000047,C0001,R0145,impression,2026-04-20,offers
I0000048,C0001,R0087,impression,2026-01-17,ai_assistant
I0000049,C0001,R0145,impression,2026-08-25,offers
I0000050,C0001,R0011,impression,2026-08-03,home
I0000051,C0001,R0010,impression,2026-05-17,ai_assistant
I0000052,C0001,R0087,view_menu,2026-03-17,offers
I0000053,C0001,R0051,impression,2026-03-24,search
I0000054,C0001,R0134,impression,2026-08-27,reorder
I0000055,C0001,R0065,impression,2026-04-23,reorder
I0000056,C0001,R0011,click,2026-04-29,ai_assistant
I0000057,C0001,R0011,dismiss,2026-04-07,ai_assistant
I0000058,C0001,R0029,click,2026-03-11,ai_assistant
I0000059,C0001,R0145,click,2026-04-30,home
I0000060,C0001,R0023,view_menu,2026-04-14,home
I0000061,C0001,R0118,save,2026-08-24,offers
I0000062,C0001,R0118,click,2026-07-12,home
I0000063,C0001,R0118,click,2026-09-02,search
I0000064,C0001,R0150,click,2026-05-27,reorder
I0000065,C0001,R0010,impression,2026-02-21,home
I0000066,C0001,R0146,click,2026-01-29,home
I0000067,C0001,R0135,impression,2026-06-30,offers
I0000068,C0001,R0011,impression,2026-01-10,reorder
I0000069,C0001,R0075,impression,2026-08-25,home
I0000070,C0001,R0134,impression,2026-01-23,reorder
I0000071,C0001,R0051,order,2026-04-19,offers
I0000072,C0002,R0035,impression,2026-06-20,ai_assistant
I0000073,C0002,R0037,view_menu,2026-07-06,offers
I0000074,C0002,R0086,dismiss,2026-04-06,search
I0000075,C0002,R0037,click,2026-01-28,offers
I0000076,C0002,R0012,view_menu,2026-07-29,search
I0000077,C0002,R0083,impression,2026-03-04,home
I0000078,C0002,R0018,dismiss,2026-01-15,reorder
I0000079,C0002,R0086,view_menu,2026-05-30,ai_assistant
I0000080,C0002,R0035,impression,2026-04-14,reorder
I0000081,C0002,R0012,view_menu,2026-07-03,home
I0000082,C0002,R0035,view_menu,2026-06-15,offers
I0000083,C0002,R0089,impression,2026-04-27,search
I0000084,C0002,R0086,order,2026-07-15,offers
I0000085,C0002,R0089,dismiss,2026-03-11,ai_assistant
I0000086,C0002,R0114,view_menu,2026-02-08,search
I0000087,C0002,R0083,add_to_cart,2026-05-24,reorder
I0000088,C0002,R0068,click,2026-08-08,reorder
I0000089,C0002,R0037,impression,2026-06-09,search
I0000090,C0002,R0068,click,2026-07-27,offers
I0000091,C0002,R0035,click,2026-01-24,reorder
I0000092,C0002,R0060,impression,2026-08-25,search
I0000093,C0002,R0086,click,2026-07-22,home
I0000094,C0002,R0012,add_to_cart,2026-08-23,ai_assistant
I0000095,C0002,R0012,click,2026-01-09,offers
I0000096,C0002,R0037,impression,2026-05-24,home
I0000097,C0002,R0114,dismiss,2026-07-31,reorder
I0000098,C0002,R0086,view_menu,2026-01-31,home
I0000099,C0002,R0012,impression,2026-01-07,offers
I0000100,C0002,R0012,order,2026-05-23,ai_assistant
I0000101,C0002,R0083,dismiss,2026-04-05,reorder
I0000102,C0002,R0083,impression,2026-02-23,ai_assistant
I0000103,C0002,R0089,view_menu,2026-04-25,home
I0000104,C0002,R0114,dismiss,2026-06-19,reorder
I0000105,C0002,R0012,click,2026-08-05,search
I0000106,C0002,R0086,view_menu,2026-03-06,search
I0000107,C0002,R0094,view_menu,2026-01-26,ai_assistant
I0000108,C0002,R0083,impression,2026-07-11,ai_assistant
I0000109,C0003,R0098,impression,2026-06-04,home
I0000110,C0003,R0097,impression,2026-08-25,search
I0000111,C0003,R0064,save,2026-01-02,home
I0000112,C0003,R0097,impression,2026-09-03,home
I0000113,C0003,R0015,add_to_cart,2026-01-15,home
I0000114,C0003,R0117,impression,2026-01-19,offers
I0000115,C0003,R0106,order,2026-04-28,search
I0000116,C0003,R0102,impression,2026-03-06,ai_assistant
I0000117,C0003,R0026,click,2026-02-05,home
I0000118,C0003,R0106,impression,2026-01-13,ai_assistant
I0000119,C0003,R0014,impression,2026-07-15,search
I0000120,C0003,R0078,order,2026-06-20,offers
I0000121,C0003,R0028,click,2026-01-14,ai_assistant
I0000122,C0003,R0098,click,2026-02-02,search
I0000123,C0003,R0084,dismiss,2026-01-19,home
I0000124,C0003,R0130,view_menu,2026-05-16,home
I0000125,C0003,R0014,view_menu,2026-08-30,offers
I0000126,C0003,R0078,view_menu,2026-06-10,offers
I0000127,C0003,R0017,dismiss,2026-04-03,reorder
I0000128,C0003,R0096,click,2026-06-05,search
I0000129,C0003,R0130,save,2026-07-17,ai_assistant
I0000130,C0003,R0130,impression,2026-02-05,home
I0000131,C0003,R0054,impression,2026-01-21,ai_assistant
I0000132,C0003,R0054,save,2026-07-30,reorder
I0000133,C0003,R0130,click,2026-01-17,search
I0000134,C0003,R0026,impression,2026-02-18,offers
I0000135,C0003,R0096,add_to_cart,2026-06-26,offers
I0000136,C0003,R0039,impression,2026-05-10,search
I0000137,C0003,R0015,dismiss,2026-06-06,ai_assistant
I0000138,C0004,R0116,order,2026-04-22,reorder
I0000139,C0004,R0118,order,2026-02-07,search
I0000140,C0004,R0029,click,2026-01-18,ai_assistant
I0000141,C0004,R0053,impression,2026-02-15,reorder
I0000142,C0004,R0059,add_to_cart,2026-05-17,search
I0000143,C0004,R0087,dismiss,2026-07-26,offers
I0000144,C0004,R0116,click,2026-01-27,search
I0000145,C0004,R0101,dismiss,2026-03-03,offers
I0000146,C0004,R0001,impression,2026-08-05,ai_assistant
I0000147,C0004,R0057,impression,2026-08-09,search
I0000148,C0004,R0009,impression,2026-02-17,ai_assistant
I0000149,C0004,R0118,add_to_cart,2026-03-08,reorder
I0000150,C0004,R0001,click,2026-07-14,search
I0000151,C0004,R0009,dismiss,2026-06-11,offers
I0000152,C0004,R0023,view_menu,2026-05-19,offers
I0000153,C0004,R0055,impression,2026-09-06,home
I0000154,C0004,R0011,impression,2026-09-06,search
I0000155,C0004,R0069,impression,2026-03-07,home
I0000156,C0004,R0029,view_menu,2026-01-07,reorder
I0000157,C0004,R0135,click,2026-01-22,reorder
I0000158,C0004,R0069,view_menu,2026-06-02,home
I0000159,C0004,R0113,view_menu,2026-04-10,search
I0000160,C0004,R0149,click,2026-05-03,ai_assistant
I0000161,C0004,R0010,impression,2026-04-02,ai_assistant
I0000162,C0005,R0130,impression,2026-07-02,reorder
I0000163,C0005,R0026,save,2026-04-30,search
I0000164,C0005,R0109,click,2026-08-15,offers
I0000165,C0005,R0014,add_to_cart,2026-02-25,search
I0000166,C0005,R0096,impression,2026-03-18,home
I0000167,C0005,R0002,add_to_cart,2026-02-14,ai_assistant
I0000168,C0005,R0004,impression,2026-06-08,ai_assistant
I0000169,C0005,R0098,save,2026-04-30,search
I0000170,C0005,R0102,click,2026-08-23,ai_assistant
I0000171,C0005,R0130,view_menu,2026-04-02,offers
I0000172,C0005,R0064,click,2026-07-15,reorder
I0000173,C0005,R0127,click,2026-06-14,search
I0000174,C0005,R0085,view_menu,2026-03-10,home
I0000175,C0005,R0127,impression,2026-06-22,search
I0000176,C0005,R0078,save,2026-04-27,home
I0000177,C0005,R0084,view_menu,2026-04-19,search
I0000178,C0005,R0039,impression,2026-06-17,offers
I0000179,C0005,R0004,click,2026-01-27,search
I0000180,C0005,R0064,dismiss,2026-03-16,search
I0000181,C0005,R0039,impression,2026-07-23,home
I0000182,C0005,R0127,impression,2026-04-12,search
I0000183,C0005,R0064,add_to_cart,2026-05-11,search
I0000184,C0005,R0045,save,2026-06-10,reorder
I0000185,C0005,R0064,click,2026-05-11,offers
I0000186,C0005,R0054,save,2026-08-03,search
I0000187,C0005,R0017,impression,2026-08-16,offers
I0000188,C0006,R0080,click,2026-02-21,home
I0000189,C0006,R0131,view_menu,2026-02-28,offers
I0000190,C0006,R0020,add_to_cart,2026-03-16,ai_assistant
I0000191,C0006,R0131,impression,2026-01-01,offers
I0000192,C0006,R0126,impression,2026-06-07,offers
I0000193,C0006,R0138,impression,2026-03-17,search
I0000194,C0006,R0090,click,2026-08-01,home
I0000195,C0006,R0079,view_menu,2026-02-11,offers
I0000196,C0006,R0021,view_menu,2026-07-15,search
I0000197,C0006,R0092,impression,2026-01-17,search
I0000198,C0006,R0126,add_to_cart,2026-03-25,reorder
I0000199,C0006,R0143,impression,2026-07-01,home
I0000200,C0006,R0025,save,2026-08-15,home
I0000201,C0006,R0126,click,2026-06-08,reorder
I0000202,C0006,R0079,click,2026-03-07,search
I0000203,C0006,R0043,click,2026-02-14,search
I0000204,C0006,R0092,impression,2026-02-23,offers
I0000205,C0006,R0080,save,2026-02-04,search
I0000206,C0006,R0092,impression,2026-02-09,ai_assistant
I0000207,C0006,R0126,impression,2026-08-20,search
I0000208,C0006,R0090,impression,2026-02-06,reorder
I0000209,C0006,R0025,save,2026-03-26,search
I0000210,C0006,R0043,impression,2026-04-22,ai_assistant
I0000211,C0006,R0079,order,2026-05-24,home
I0000212,C0006,R0043,view_menu,2026-08-12,offers
I0000213,C0006,R0141,impression,2026-02-01,offers
I0000214,C0006,R0080,dismiss,2026-04-20,ai_assistant
I0000215,C0006,R0020,order,2026-05-01,reorder
I0000216,C0006,R0025,impression,2026-08-08,home
I0000217,C0006,R0043,impression,2026-08-21,reorder
I0000218,C0006,R0131,dismiss,2026-04-10,home
I0000219,C0006,R0049,impression,2026-05-29,offers
I0000220,C0006,R0126,impression,2026-05-20,reorder
I0000221,C0006,R0080,add_to_cart,2026-03-26,ai_assistant
I0000222,C0006,R0080,impression,2026-07-06,home
I0000223,C0006,R0126,click,2026-02-06,ai_assistant
I0000224,C0006,R0043,click,2026-06-27,search
I0000225,C0006,R0141,impression,2026-02-03,reorder
I0000226,C0006,R0147,impression,2026-01-02,reorder
I0000227,C0006,R0092,impression,2026-06-06,offers
I0000228,C0006,R0049,click,2026-06-30,offers
I0000229,C0006,R0141,add_to_cart,2026-07-17,search
I0000230,C0006,R0080,impression,2026-02-11,reorder
I0000231,C0006,R0126,impression,2026-03-04,search
I0000232,C0006,R0147,view_menu,2026-09-08,ai_assistant
I0000233,C0006,R0143,impression,2026-05-09,ai_assistant
I0000234,C0006,R0092,save,2026-06-15,offers
I0000235,C0006,R0049,impression,2026-03-31,reorder
I0000236,C0006,R0143,impression,2026-06-29,reorder
I0000237,C0006,R0021,save,2026-02-14,reorder
I0000238,C0006,R0043,dismiss,2026-02-20,ai_assistant
I0000239,C0006,R0131,impression,2026-01-28,home
I0000240,C0006,R0143,dismiss,2026-07-18,search
I0000241,C0006,R0021,impression,2026-05-10,offers
I0000242,C0006,R0090,impression,2026-04-25,ai_assistant
I0000243,C0006,R0090,click,2026-04-13,home
I0000244,C0006,R0021,impression,2026-04-24,reorder
I0000245,C0006,R0025,click,2026-09-06,search
I0000246,C0006,R0147,impression,2026-09-04,reorder
I0000247,C0006,R0141,dismiss,2026-08-17,ai_assistant
I0000248,C0006,R0138,view_menu,2026-06-01,offers
I0000249,C0006,R0126,order,2026-04-21,home
I0000250,C0006,R0021,dismiss,2026-08-04,reorder
I0000251,C0007,R0006,impression,2026-06-05,search
I0000252,C0007,R0104,save,2026-03-26,reorder
I0000253,C0007,R0007,add_to_cart,2026-06-02,search
I0000254,C0007,R0124,impression,2026-07-23,reorder
I0000255,C0007,R0061,click,2026-03-24,offers
I0000256,C0007,R0070,click,2026-08-07,home
I0000257,C0007,R0031,view_menu,2026-07-21,offers
I0000258,C0007,R0077,add_to_cart,2026-02-27,home
I0000259,C0007,R0136,impression,2026-03-26,offers
I0000260,C0007,R0031,save,2026-04-24,reorder
I0000261,C0007,R0105,add_to_cart,2026-06-24,home
I0000262,C0007,R0046,save,2026-01-01,ai_assistant
I0000263,C0007,R0133,save,2026-08-06,reorder
I0000264,C0007,R0125,click,2026-08-22,home
I0000265,C0007,R0119,add_to_cart,2026-08-13,reorder
I0000266,C0007,R0030,dismiss,2026-02-12,search
I0000267,C0007,R0125,add_to_cart,2026-02-21,offers
I0000268,C0007,R0119,click,2026-07-18,offers
I0000269,C0007,R0136,impression,2026-05-12,search
I0000270,C0007,R0123,click,2026-06-24,home
I0000271,C0007,R0061,view_menu,2026-06-12,ai_assistant
I0000272,C0007,R0099,click,2026-06-08,search
I0000273,C0007,R0032,view_menu,2026-08-24,offers
I0000274,C0007,R0030,impression,2026-01-28,home
I0000275,C0007,R0123,impression,2026-08-03,ai_assistant
I0000276,C0007,R0032,add_to_cart,2026-05-03,ai_assistant
I0000277,C0007,R0077,order,2026-06-02,search
I0000278,C0007,R0107,impression,2026-08-21,reorder
I0000279,C0007,R0067,impression,2026-01-13,search
I0000280,C0007,R0104,click,2026-05-05,ai_assistant
I0000281,C0007,R0093,click,2026-04-01,search
I0000282,C0007,R0031,impression,2026-06-14,ai_assistant
I0000283,C0007,R0139,view_menu,2026-04-12,ai_assistant
I0000284,C0007,R0070,impression,2026-07-17,reorder
I0000285,C0007,R0007,impression,2026-05-28,offers
I0000286,C0007,R0024,view_menu,2026-01-14,ai_assistant
I0000287,C0007,R0031,view_menu,2026-05-01,search
