order_id,customer_id,restaurant_id,order_date,day_of_week,order_hour,order_value,cuisine,restaurant_rating,delivery_time_min,customer_rating,discount_used,occasion,repeat_order
O000001,C0001,R0059,2026-07-22,Wednesday,20,711,Cafe,4.4,33,4,0,Date Night,0
O000002,C0001,R0069,2026-07-20,Monday,13,451,South Indian,4.4,30,3,1,Movie Night,0
O000003,C0001,R0118,2025-11-22,Saturday,14,739,Chinese,4.6,37,3,0,Routine,1
O000004,C0001,R0003,2025-10-19,Sunday,8,294,Chinese,4.0,24,5,1,Work Lunch,0
O000005,C0001,R0001,2026-07-20,Monday,23,272,South Indian,3.9,38,3,1,Family,0
O000006,C0001,R0065,2025-09-16,Tuesday,20,628,Healthy,4.8,37,5,1,Friends,0
O000007,C0001,R0118,2025-10-12,Sunday,20,721,Chinese,4.6,37,5,0,Work Lunch,1
O000008,C0001,R0013,2025-11-07,Friday,18,926,South Indian,4.1,44,5,1,Friends,0
O000009,C0001,R0113,2026-03-04,Wednesday,10,420,Healthy,4.2,42,5,1,Routine,0
O000010,C0002,R0089,2025-12-24,Wednesday,13,504,Chinese,3.9,30,3,1,Routine,1
O000011,C0002,R0018,2026-01-05,Monday,22,291,Pizza,3.5,47,5,1,Date Night,1
O000012,C0002,R0094,2026-03-14,Saturday,23,407,Italian,4.4,42,5,0,Routine,1
O000013,C0002,R0083,2025-09-28,Sunday,13,736,Healthy,4.3,36,5,0,Routine,0
O000014,C0002,R0089,2025-11-14,Friday,21,524,Chinese,3.9,30,3,1,Routine,1
O000015,C0002,R0060,2026-06-25,Thursday,9,284,Italian,4.3,43,5,0,Routine,0
O000016,C0002,R0086,2026-07-04,Saturday,9,214,Italian,4.4,23,5,1,Routine,0
O000017,C0002,R0012,2026-01-24,Saturday,13,368,Pizza,3.3,27,3,0,Movie Night,1
O000018,C0002,R0089,2025-10-19,Sunday,9,427,Chinese,3.9,30,2,0,Work Lunch,1
O000019,C0002,R0012,2026-03-06,Friday,12,324,Pizza,3.3,27,2,1,Work Lunch,1
O000020,C0002,R0094,2026-05-11,Monday,23,338,Italian,4.4,42,4,1,Routine,1
O000021,C0002,R0114,2025-10-09,Thursday,18,202,Chinese,3.6,33,5,0,Late Night,0
O000022,C0002,R0018,2025-10-11,Saturday,12,225,Pizza,3.5,47,3,0,Friends,1
O000023,C0003,R0117,2026-03-13,Friday,14,463,Italian,3.9,43,3,0,Friends,1
O000024,C0003,R0095,2026-04-20,Monday,23,670,North Indian,3.8,25,5,1,Routine,1
O000025,C0003,R0085,2026-02-01,Sunday,8,251,Desserts,3.4,26,5,0,Movie Night,0
O000026,C0003,R0078,2026-08-05,Wednesday,20,226,Biryani,3.7,15,5,1,Friends,0
O000027,C0003,R0014,2025-09-18,Thursday,9,677,Maharashtrian,4.1,35,5,1,Late Night,1
O000028,C0003,R0014,2026-02-26,Thursday,18,830,Maharashtrian,4.1,35,4,0,Late Night,1
O000029,C0003,R0095,2026-07-06,Monday,19,459,North Indian,3.8,25,5,1,Routine,1
O000030,C0003,R0045,2026-05-27,Wednesday,22,1004,Maharashtrian,4.7,38,4,0,Routine,0
O000031,C0003,R0121,2025-11-03,Monday,12,355,Italian,4.8,41,5,0,Family,0
O000032,C0003,R0054,2026-06-03,Wednesday,8,560,Chinese,3.6,34,3,1,Family,0
O000033,C0003,R0017,2025-11-19,Wednesday,12,216,Chinese,4.4,65,5,1,Movie Night,0
O000034,C0003,R0098,2025-10-30,Thursday,12,617,Burgers,4.1,33,4,1,Routine,0
O000035,C0003,R0041,2025-11-11,Tuesday,12,1255,Biryani,4.5,30,2,0,Routine,1
O000036,C0003,R0084,2026-08-22,Saturday,10,584,Desserts,4.1,32,5,1,Routine,0
O000037,C0003,R0097,2026-05-06,Wednesday,12,456,Chinese,4.9,24,3,0,Late Night,1
O000038,C0003,R0117,2026-02-27,Friday,22,472,Italian,3.9,43,4,0,Family,1
O000039,C0003,R0106,2026-01-30,Friday,18,312,Healthy,4.3,46,3,0,Date Night,0
O000040,C0003,R0097,2026-05-13,Wednesday,17,415,Chinese,4.9,24,5,0,Family,1
